Setpoint,PID_Output,Planta_Output
48.00,0.82,47.89
48.00,0.83,47.89
48.00,0.83,47.89
48.00,0.84,47.88
48.00,0.84,47.88
48.00,0.84,47.88
48.00,0.84,47.88
48.00,0.84,47.88
48.00,0.84,47.88
48.00,0.85,47.88
48.00,0.85,47.87
48.00,0.85,47.87
48.00,0.85,47.87
48.00,0.86,47.87
48.00,0.86,47.87
48.00,0.86,47.87
48.00,0.86,47.86
48.00,0.87,47.86
48.00,0.87,47.86
48.00,0.87,47.86
48.00,0.87,47.86
48.00,0.87,47.86
48.00,0.87,47.86
48.00,0.88,47.85
48.00,0.88,47.85
48.00,0.88,47.85
48.00,0.88,47.85
48.00,0.89,47.85
48.00,0.89,47.85
48.00,0.89,47.85
48.00,0.89,47.85
48.00,0.89,47.84
48.00,0.89,47.84
48.00,0.90,47.84
48.00,0.90,47.84
48.00,0.90,47.84
48.00,0.90,47.84
48.00,0.90,47.84
48.00,0.90,47.84
48.00,0.91,47.84
48.00,0.91,47.84
48.00,0.91,47.83
48.00,0.91,47.83
48.00,0.91,47.83
48.00,0.91,47.83
48.00,0.92,47.83
48.00,0.92,47.83
48.00,0.92,47.83
48.00,0.92,47.83
48.00,0.93,47.83
48.00,0.93,47.83
48.00,0.93,47.83
48.00,0.93,47.82
48.00,0.93,47.82
48.00,0.93,47.82
48.00,0.93,47.82
48.00,0.93,47.82
48.00,0.94,47.82
48.00,0.94,47.82
48.00,0.94,47.82
48.00,0.94,47.82
48.00,0.94,47.82
48.00,0.94,47.82
48.00,0.95,47.82
48.00,0.95,47.82
48.00,0.95,47.81
48.00,0.95,47.81
48.00,0.95,47.81
48.00,0.95,47.81
48.00,0.96,47.81
48.00,0.96,47.81
48.00,0.96,47.81
48.00,0.96,47.81
48.00,0.96,47.81
48.00,0.96,47.81
48.00,0.96,47.81
48.00,0.96,47.81
48.00,0.97,47.81
48.00,0.97,47.81
48.00,0.97,47.81
48.00,0.97,47.81
48.00,0.97,47.81
48.00,0.97,47.81
48.00,0.98,47.81
48.00,0.98,47.81
48.00,0.98,47.81
48.00,0.98,47.81
48.00,0.98,47.81
48.00,0.98,47.80
48.00,0.98,47.80
48.00,0.98,47.80
48.00,0.99,47.80
48.00,0.99,47.80
48.00,0.99,47.80
48.00,0.99,47.80
48.00,0.99,47.80
48.00,0.99,47.80
48.00,0.99,47.80
48.00,0.99,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.00,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.01,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.02,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.03,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.80
48.00,1.04,47.81
48.00,1.04,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.05,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.81
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.06,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.82
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.07,47.83
48.00,1.08,47.83
48.00,1.08,47.83
48.00,1.08,47.83
48.00,1.08,47.83
48.00,1.08,47.83
48.00,1.08,47.83
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.84
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
